test1,5
test2,0
test3,8
test4,7
test5,1
test6,3
test7,1
test8,4
test9,6
test10,7
test11,6
test12,3
test13,4
test14,2
test15,5
test16,8
test17,7
test18,9
test19,3
test20,0
test21,2
test22,5
test23,2
test24,6
test25,1
test26,2
test27,0
test28,5
test29,5
test30,5
test31,5
test32,4
test33,6
test34,1
test35,7
test36,3
test37,5
test38,4
test39,6
test40,8
test41,9
test42,2
test43,5
test44,6
test45,3
test46,6
test47,4
test48,7
test49,9
test50,0
test51,0
test52,1
test53,9
test54,8
test55,7
test56,2
test57,4
test58,7
test59,6
test60,2
test61,3
test62,1
test63,2
test64,5
test65,7
test66,8
test67,9
test68,7
test69,6
test70,4
test71,2
test72,1
test73,5
test74,8
test75,9
test76,6
test77,4
test78,2
test79,3
test80,5
test81,9
test82,6
test83,7
test84,8
test85,4
test86,7
test87,5
test88,2
test89,0
test90,9
test91,6
test92,1
test93,3
test94,6
test95,1
test96,9
test97,9
test98,8
test99,0
test100,2
test101,2
test102,7
test103,0
test104,0
test105,1
test106,1
test107,2
test108,2
test109,3
test110,3
test111,4
test112,4
test113,5
test114,5
test115,6
test116,6
test117,7
test118,7
test119,8
test120,8
test121,9
test122,9
